wanikani	word	reading	sense 1	sense 2	sense 3	url
2	天才	てんさい	genius, prodigy, natural gift	Genius		http://jisho.org/word/%E5%A4%A9%E6%89%8D
3	生む	うむ	to give birth, to bear (child), to lay (eggs)	to produce, to yield, to give rise to, to deliver		http://jisho.org/word/%E7%94%9F%E3%82%80
3	公用	こうよう	government business, official business	public, official, governmental		http://jisho.org/word/%E5%85%AC%E7%94%A8
3	久しい	ひさしい	long, long-continued, old (story)			http://jisho.org/word/%E4%B9%85%E3%81%97%E3%81%84
3	矢	や	arrow	wedge, chock	Ya	http://jisho.org/word/%E7%9F%A2
4	一気	いっき	chug!, drink! (said repeatedly as a party cheer)			http://jisho.org/word/%E4%B8%80%E6%B0%97
4	号	ごう	number, edition, make, model, issue, part of that group	sobriquet, pen-name		http://jisho.org/word/%E5%8F%B7
4	代用	だいよう	substitution			http://jisho.org/word/%E4%BB%A3%E7%94%A8
4	本気	ほんき	seriousness, earnestness, truth, sanctity			http://jisho.org/word/%E6%9C%AC%E6%B0%97
4	丸ごと	まるごと	in its entirety, whole, wholly			http://jisho.org/word/%E4%B8%B8%E3%81%94%E3%81%A8
4	見方	みかた	viewpoint, point of view	way of understanding, way of appreciating, how to look at something (e.g. noh, train schedule)		http://jisho.org/word/%E8%A6%8B%E6%96%B9
4	世	よ	world, society, age, generation	Series (stratigraphy)		http://jisho.org/word/%E4%B8%96
5	当たり	あたり	hit	success	guess, prediction	http://jisho.org/word/%E5%BD%93%E3%81%9F%E3%82%8A
5	外来	がいらい	foreign, imported	outpatient, outpatient care, outpatient clinic, outpatient ward		http://jisho.org/word/%E5%A4%96%E6%9D%A5
5	休学	きゅうがく	temporary absence from school, suspension			http://jisho.org/word/%E4%BC%91%E5%AD%A6
5	工学	こうがく	engineering	Engineering		http://jisho.org/word/%E5%B7%A5%E5%AD%A6
5	工作	こうさく	handicraft	work, construction, manufacturing	maneuvering, manoeuvering	http://jisho.org/word/%E5%B7%A5%E4%BD%9C
5	作用	さよう	action, operation, effect, function			http://jisho.org/word/%E4%BD%9C%E7%94%A8
5	自立	じりつ	independence, self-reliance			http://jisho.org/word/%E8%87%AA%E7%AB%8B
5	走行	そうこう	running a wheeled vehicle (e.g. car), running to program, job, etc., traveling, travelling			http://jisho.org/word/%E8%B5%B0%E8%A1%8C
5	体力	たいりょく	stamina, endurance, physical strength, resilience, resistance to disease	strength of an organization (e.g. profitability, productivity, economic clout, stability, growth potential)	Physical strength	http://jisho.org/word/%E4%BD%93%E5%8A%9B
5	万人	ばんにん	all people, everybody	ten thousand people		http://jisho.org/word/%E4%B8%87%E4%BA%BA
6	曲	きょく	song, tune, composition, piece of music			http://jisho.org/word/%E6%9B%B2
6	死	し	death, decease	death penalty (by strangulation or decapitation)	(an) out	http://jisho.org/word/%E6%AD%BB
6	室	しつ	room	wife (of someone of high rank)	scabbard	http://jisho.org/word/%E5%AE%A4
6	姉妹	しまい	sisters			http://jisho.org/word/%E5%A7%89%E5%A6%B9
6	出血	しゅっけつ	bleeding, haemorrhage, hemorrhage	bleeding money, red ink, selling below cost	Bleeding	http://jisho.org/word/%E5%87%BA%E8%A1%80
6	天国	てんごく	paradise, heaven, Kingdom of Heaven	Heaven		http://jisho.org/word/%E5%A4%A9%E5%9B%BD
6	不明	ふめい	unknown, obscure, indistinct, uncertain, ambiguous	anonymous, unidentified	ignorant, lack of wisdom	http://jisho.org/word/%E4%B8%8D%E6%98%8E
7	大空	おおぞら	heavens, firmament, sky			http://jisho.org/word/%E5%A4%A7%E7%A9%BA
7	考古学	こうこがく	archaeology, archeology	Archaeology		http://jisho.org/word/%E8%80%83%E5%8F%A4%E5%AD%A6
7	丁目	ちょうめ	district of a town, city block (of irregular size)			http://jisho.org/word/%E4%B8%81%E7%9B%AE
8	当たり前	あたりまえ	natural, reasonable, obvious	usual, common, ordinary, commonplace, the norm		http://jisho.org/word/%E5%BD%93%E3%81%9F%E3%82%8A%E5%89%8D
8	助言	じょげん	advice, suggestion	Advice (constitutional)		http://jisho.org/word/%E5%8A%A9%E8%A8%80
8	近づく	ちかづく	to approach, to draw near, to get close	to get acquainted with, to get closer to, to get to know		http://jisho.org/word/%E8%BF%91%E3%81%A5%E3%81%8F
