wanikani	word	reading	sense 1	sense 2	sense 3	url
2	王女	おうじょ	princess			http://jisho.org/word/%E7%8E%8B%E5%A5%B3
2	火山	かざん	volcano	Volcano		http://jisho.org/word/%E7%81%AB%E5%B1%B1
3	大人しい	おとなしい	obedient, docile, quiet			http://jisho.org/word/%E5%A4%A7%E4%BA%BA%E3%81%97%E3%81%84
3	外れる	はずれる	to be disconnected, to get out of place, to be off, to be out (e.g. of gear)			http://jisho.org/word/%E5%A4%96%E3%82%8C%E3%82%8B
4	写る	うつる	to be photographed, to be projected			http://jisho.org/word/%E5%86%99%E3%82%8B
4	貝	かい	shell, shellfish			http://jisho.org/word/%E8%B2%9D
4	替わる	かわる	to succeed, to relieve, to replace	to take the place of, to substitute for, to take over for, to represent	to be exchanged, to change (places with), to switch	http://jisho.org/word/%E6%9B%BF%E3%82%8F%E3%82%8B
4	先々月	せんせんげつ	month before last			http://jisho.org/word/%E5%85%88%E3%80%85%E6%9C%88
4	竹	たけ	bamboo	middle (of a three-tier ranking system)	Bamboo	http://jisho.org/word/%E7%AB%B9
4	花火	はなび	fireworks	Fireworks		http://jisho.org/word/%E8%8A%B1%E7%81%AB
4	引き分け	ひきわけ	draw (in competition), tie game	Tie (draw)		http://jisho.org/word/%E5%BC%95%E3%81%8D%E5%88%86%E3%81%91
4	平気	へいき	coolness, calmness, composure, unconcern	all right, OK, okay		http://jisho.org/word/%E5%B9%B3%E6%B0%97
4	平日	へいじつ	weekday, ordinary days (i.e. non-holiday)	kanji radical 73	Weekday	http://jisho.org/word/%E5%B9%B3%E6%97%A5
4	名字	みょうじ	surname, family name	Myouji	Japanese name	http://jisho.org/word/%E5%90%8D%E5%AD%97
5	売り上げ	うりあげ	amount sold, sales, proceeds, takings, turnover			http://jisho.org/word/%E5%A3%B2%E3%82%8A%E4%B8%8A%E3%81%92
5	売り切れ	うりきれ	sold-out			http://jisho.org/word/%E5%A3%B2%E3%82%8A%E5%88%87%E3%82%8C
5	学年	がくねん	academic year, school year	year in school, grade in school	Educational stage	http://jisho.org/word/%E5%AD%A6%E5%B9%B4
5	毛糸	けいと	knitting wool			http://jisho.org/word/%E6%AF%9B%E7%B3%B8
5	三角	さんかく	triangle, triangular			http://jisho.org/word/%E4%B8%89%E8%A7%92
5	四角	しかく	square			http://jisho.org/word/%E5%9B%9B%E8%A7%92
5	下町	したまち	low-lying part of a city (usu. containing shops, factories, etc.)	Shitamachi (low-lying area of eastern Tokyo near Tokyo Bay, incl. Asakusa, Shitaya, Kanda, Fukugawa, Honjo, Nihonbashi, Kyobashi and surrounds)	Shitamachi	http://jisho.org/word/%E4%B8%8B%E7%94%BA
5	入社	にゅうしゃ	joining a company, getting a job with a company, entering a company			http://jisho.org/word/%E5%85%A5%E7%A4%BE
5	生える	はえる	to grow, to spring up, to sprout	to cut (teeth)		http://jisho.org/word/%E7%94%9F%E3%81%88%E3%82%8B
5	羽	はね	feather, plume, wing	blade (fan, propeller, etc.)	Flügel	http://jisho.org/word/%E7%BE%BD
5	皮肉	ひにく	cynicism, sarcasm, irony, satire			http://jisho.org/word/%E7%9A%AE%E8%82%89
5	混ぜる	まぜる	to mix, to stir, to blend			http://jisho.org/word/%E6%B7%B7%E3%81%9C%E3%82%8B
6	国王	こくおう	king			http://jisho.org/word/%E5%9B%BD%E7%8E%8B
6	死体	したい	dead body, corpse, cadaver	Cadaver		http://jisho.org/word/%E6%AD%BB%E4%BD%93
