wanikani	word	reading	sense 1	sense 2	sense 3	url
1	人工	じんこう	artificial, man-made, human work, human skill, artificiality	Artificial		http://jisho.org/word/%E4%BA%BA%E5%B7%A5
1	大した	たいした	considerable, great, important, significant, a big deal			http://jisho.org/word/%E5%A4%A7%E3%81%97%E3%81%9F
2	円	えん	yen, Japanese monetary unit	circle	圓	http://jisho.org/word/%E5%86%86
2	王	おう	king, ruler, sovereign, monarch	tycoon, magnate, champion, master	king (of the senior player)	http://jisho.org/word/%E7%8E%8B
2	王子	おうじ	prince	subordinate Kumano shrine		http://jisho.org/word/%E7%8E%8B%E5%AD%90
2	大いに	おおいに	very, much, greatly, a lot of			http://jisho.org/word/%E5%A4%A7%E3%81%84%E3%81%AB
2	刀	かたな	(single-edged) sword, katana	dagger, knife	scalpel	http://jisho.org/word/%E5%88%80
2	女王	じょおう	queen	Queen regnant		http://jisho.org/word/%E5%A5%B3%E7%8E%8B
2	女子	じょし	woman, girl			http://jisho.org/word/%E5%A5%B3%E5%AD%90
2	田	た	rice field	Paddy field		http://jisho.org/word/%E7%94%B0
2	玉	たま	ball, sphere, globe, orb	bead (of sweat, dew, etc.), drop, droplet	ball (in sports)	http://jisho.org/word/%E7%8E%89
2	月	つき	moon	month	Moon	http://jisho.org/word/%E6%9C%88
2	土	つち	earth, soil, dirt, clay, mud	the earth (historically, esp. as opposed to the heavens), the ground, the land	low-quality torinoko-gami (containing mud)	http://jisho.org/word/%E5%9C%9F
2	中々	なかなか	very, considerably, easily, readily, fairly, quite, highly, rather	by no means (with negative verb), not readily	middle, half-way point	http://jisho.org/word/%E4%B8%AD%E3%80%85
2	日本	にほん	Japan	Japan		http://jisho.org/word/%E6%97%A5%E6%9C%AC
2	文	ぶん	sentence	composition, text, writings	the literary arts (as opposed to the military arts), academia, literature	http://jisho.org/word/%E6%96%87
2	丸	まる	circle	entirety, whole, full, complete	money, dough, moola	http://jisho.org/word/%E4%B8%B8
3	牛	うし	cattle (Bos taurus), cow, bull, ox, calf	beef	Chinese "Ox" constellation (one of the 28 mansions)	http://jisho.org/word/%E7%89%9B
3	切れる	きれる	to break, to snap, to be cut, to split, to crack	to be injured	to wear out, to be worn out	http://jisho.org/word/%E5%88%87%E3%82%8C%E3%82%8B
3	今日は	こんにちは	hello, good day (daytime greeting)			http://jisho.org/word/%E4%BB%8A%E6%97%A5%E3%81%AF
3	左右	さゆう	left and right	influence, control, domination	Sou	http://jisho.org/word/%E5%B7%A6%E5%8F%B3
3	少女	しょうじょ	little girl, maiden, young lady, female usually between 7 and 18 years old	female between 17 and 20 years old (ritsuryo period)	Girl	http://jisho.org/word/%E5%B0%91%E5%A5%B3
3	人生	じんせい	(human) life (i.e. conception to death)	Human life		http://jisho.org/word/%E4%BA%BA%E7%94%9F
3	台	だい	stand, rack, table	support	belt	http://jisho.org/word/%E5%8F%B0
3	中古	ちゅうこ	used, second-hand, old	Middle Ages		http://jisho.org/word/%E4%B8%AD%E5%8F%A4
3	中止	ちゅうし	suspension, stoppage, discontinuance, interruption			http://jisho.org/word/%E4%B8%AD%E6%AD%A2
3	生	なま	raw, uncooked, fresh	natural, as it is, unedited, unprocessed	unprotected (i.e. not wearing a condom)	http://jisho.org/word/%E7%94%9F
3	友人	ゆうじん	friend			http://jisho.org/word/%E5%8F%8B%E4%BA%BA
3	分ける	わける	to divide (into), to split (into), to part, to separate, to divide up, to classify, to sort out, to divide out	to share, to distribute, to deal out, to dish out	to distinguish, to discriminate, to differentiate (between)	http://jisho.org/word/%E5%88%86%E3%81%91%E3%82%8B
4	主に	おもに	mainly, primarily			http://jisho.org/word/%E4%B8%BB%E3%81%AB
4	皮	かわ	skin, hide, pelt, fur	rind, peel, husk, bark	shell, sheath, wrapping	http://jisho.org/word/%E7%9A%AE
4	気に入る	きにいる	to be pleased with, to suit			http://jisho.org/word/%E6%B0%97%E3%81%AB%E5%85%A5%E3%82%8B
4	氷	こおり	ice	shaved ice (usually served with flavored simple syrup)	Ice	http://jisho.org/word/%E6%B0%B7
